deployment_id,event_message,execution_id,execution_time_ms,function_id,id,method,pathname,status_code,timestamp,version
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,57371305-1563-4fff-90ed-74e01465520f,137,0751d2fd-7a7a-480b-9d27-f44a212a5be5,b678fc43-29fd-46ea-9080-7f857de46382,POST,/functions/v1/process-broadcast-notifications,401,1776012780308000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,311f3428-784a-4fe5-b5e4-fc967b766409,193,0751d2fd-7a7a-480b-9d27-f44a212a5be5,45de1b61-94bf-4f4c-a6d5-d107f70ac926,POST,/functions/v1/process-broadcast-notifications,401,1776012720685000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,fc920f41-484b-42f4-b90e-d9a73c8e9074,133,0751d2fd-7a7a-480b-9d27-f44a212a5be5,da44776d-57e3-4bd7-b756-833c0b5c3f1e,POST,/functions/v1/process-broadcast-notifications,401,1776012660596000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,8bb267bf-d98d-4514-a387-e7cc16db9d82,188,0751d2fd-7a7a-480b-9d27-f44a212a5be5,ea915fd5-adfe-40ea-8dc3-f76bac243994,POST,/functions/v1/process-broadcast-notifications,401,1776012600723000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,4a68d566-3325-4411-8b81-183e20a690db,230,0751d2fd-7a7a-480b-9d27-f44a212a5be5,3d05c7f8-b7b6-47a4-ac0f-c33e2c614a96,POST,/functions/v1/process-broadcast-notifications,401,1776012540439000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,68955ce8-66c4-4261-a939-faa8d6723d92,111,0751d2fd-7a7a-480b-9d27-f44a212a5be5,f7a5d5cf-3a40-4ff3-946c-afc1281490c0,POST,/functions/v1/process-broadcast-notifications,401,1776012480817000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,5acb53f6-a544-47e4-9178-594641805fe5,121,0751d2fd-7a7a-480b-9d27-f44a212a5be5,2957caa8-93ca-4990-8c26-73cc3f7a59aa,POST,/functions/v1/process-broadcast-notifications,401,1776012420585000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,d6238ec6-f845-40da-bafe-45d8bc01e2c5,228,0751d2fd-7a7a-480b-9d27-f44a212a5be5,8292dfdd-d5e2-44fd-8721-e1fa3b2de769,POST,/functions/v1/process-broadcast-notifications,401,1776012360666000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,f2d51ca4-82ee-4984-8390-318069e57c53,163,0751d2fd-7a7a-480b-9d27-f44a212a5be5,8e42c563-a42b-47c2-8ef6-0b8de0474be1,POST,/functions/v1/process-broadcast-notifications,401,1776012300843000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,06b39b3b-eb54-4cd2-9c67-504899009b5b,96,0751d2fd-7a7a-480b-9d27-f44a212a5be5,a7747364-e130-44ba-b213-4445383b20b0,POST,/functions/v1/process-broadcast-notifications,401,1776012240730000,2
