kind,routePath,concretePath,url,outcome,ok,status,statusText,redirectedTo,contentType,error,bodySample,checkedAt,sourceFile,localhostUrl,orgSubdomainUrl,adminHostUrl
page,/admin/rota,/admin/rota,http://localhost:3000/admin/rota,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Frota,,,/login?next=%2Fadmin%2Frota,2026-05-01T09:51:46.741Z,apps/web/src/app/(main)/admin/rota/page.tsx,http://localhost:3000/admin/rota,http://demo.localhost:3000/admin/rota,http://admin.localhost:3000/admin/rota
page,/admin/rota-import,/admin/rota-import,http://localhost:3000/admin/rota-import,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Frota-import,,,/login?next=%2Fadmin%2Frota-import,2026-05-01T09:51:46.744Z,apps/web/src/app/(main)/admin/rota-import/page.tsx,http://localhost:3000/admin/rota-import,http://demo.localhost:3000/admin/rota-import,http://admin.localhost:3000/admin/rota-import
page,/admin/scan-logs,/admin/scan-logs,http://localhost:3000/admin/scan-logs,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fscan-logs,,,/login?next=%2Fadmin%2Fscan-logs,2026-05-01T09:51:46.748Z,apps/web/src/app/(main)/admin/scan-logs/page.tsx,http://localhost:3000/admin/scan-logs,http://demo.localhost:3000/admin/scan-logs,http://admin.localhost:3000/admin/scan-logs
page,/admin/settings,/admin/settings,http://localhost:3000/admin/settings,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fsettings,,,/login?next=%2Fadmin%2Fsettings,2026-05-01T09:51:46.751Z,apps/web/src/app/(main)/admin/settings/page.tsx,http://localhost:3000/admin/settings,http://demo.localhost:3000/admin/settings,http://admin.localhost:3000/admin/settings
page,/admin/sub-teams,/admin/sub-teams,http://localhost:3000/admin/sub-teams,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fsub-teams,,,/login?next=%2Fadmin%2Fsub-teams,2026-05-01T09:51:46.755Z,apps/web/src/app/(main)/admin/sub-teams/page.tsx,http://localhost:3000/admin/sub-teams,http://demo.localhost:3000/admin/sub-teams,http://admin.localhost:3000/admin/sub-teams
page,/admin/system-overview,/admin/system-overview,http://localhost:3000/admin/system-overview,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fsystem-overview,,,/login?next=%2Fadmin%2Fsystem-overview,2026-05-01T09:51:46.759Z,apps/web/src/app/(main)/admin/system-overview/page.tsx,http://localhost:3000/admin/system-overview,http://demo.localhost:3000/admin/system-overview,http://admin.localhost:3000/admin/system-overview
page,/admin/teams,/admin/teams,http://localhost:3000/admin/teams,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fteams,,,/login?next=%2Fadmin%2Fteams,2026-05-01T09:51:46.763Z,apps/web/src/app/(main)/admin/teams/page.tsx,http://localhost:3000/admin/teams,http://demo.localhost:3000/admin/teams,http://admin.localhost:3000/admin/teams
page,/admin/users,/admin/users,http://localhost:3000/admin/users,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fusers,,,/login?next=%2Fadmin%2Fusers,2026-05-01T09:51:46.766Z,apps/web/src/app/(main)/admin/users/page.tsx,http://localhost:3000/admin/users,http://demo.localhost:3000/admin/users,http://admin.localhost:3000/admin/users
api,/api/admin/application-offers/[offerId]/pdf,/api/admin/application-offers/example/pdf,http://localhost:3000/api/admin/application-offers/example/pdf,accessDenied,false,401,Unauthorized,,text/plain;charset=UTF-8,,Unauthorized,2026-05-01T09:51:46.769Z,apps/web/src/app/api/admin/application-offers/[offerId]/pdf/route.ts,http://localhost:3000/api/admin/application-offers/example/pdf,http://demo.localhost:3000/api/admin/application-offers/example/pdf,http://admin.localhost:3000/api/admin/application-offers/example/pdf
api,/api/admin/custom-roles,/api/admin/custom-roles,http://localhost:3000/api/admin/custom-roles,accessDenied,false,401,Unauthorized,,application/json,,"{""error"":""Unauthorized""}",2026-05-01T09:51:47.653Z,apps/web/src/app/api/admin/custom-roles/route.ts,http://localhost:3000/api/admin/custom-roles,http://demo.localhost:3000/api/admin/custom-roles,http://admin.localhost:3000/api/admin/custom-roles
